Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Ghana,GHA,2022,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,33.48685
Ghana,GHA,2020,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,33.48685
Ghana,GHA,2018,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,33.48685
Ghana,GHA,2016,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,33.48685
Ghana,GHA,2014,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,36.84704
Ghana,GHA,2012,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,40.20724
Ghana,GHA,2010,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,43.56743
Ghana,GHA,2008,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,46.92763
Ghana,GHA,2006,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,50.28782
Ghana,GHA,2004,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,53.64802
Ghana,GHA,2002,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,57.00822
Ghana,GHA,2000,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,60.36841
Ghana,GHA,2016,Income share held by second 20%,SI.DST.02ND.20,9.6
Ghana,GHA,2012,Income share held by second 20%,SI.DST.02ND.20,9.8
Ghana,GHA,2005,Income share held by second 20%,SI.DST.02ND.20,9.9
Ghana,GHA,1998,Income share held by second 20%,SI.DST.02ND.20,10.3
Ghana,GHA,1991,Income share held by second 20%,SI.DST.02ND.20,10.9
Ghana,GHA,1988,Income share held by second 20%,SI.DST.02ND.20,11.5
Ghana,GHA,1987,Income share held by second 20%,SI.DST.02ND.20,11.7
Ghana,GHA,2016,Income share held by third 20%,SI.DST.03RD.20,14.8
Ghana,GHA,2012,Income share held by third 20%,SI.DST.03RD.20,14.6
Ghana,GHA,2005,Income share held by third 20%,SI.DST.03RD.20,14.6
Ghana,GHA,1998,Income share held by third 20%,SI.DST.03RD.20,15
Ghana,GHA,1991,Income share held by third 20%,SI.DST.03RD.20,15.2
Ghana,GHA,1988,Income share held by third 20%,SI.DST.03RD.20,16
Ghana,GHA,1987,Income share held by third 20%,SI.DST.03RD.20,16.3
Ghana,GHA,2016,Income share held by fourth 20%,SI.DST.04TH.20,22.3
Ghana,GHA,2012,Income share held by fourth 20%,SI.DST.04TH.20,21.9
Ghana,GHA,2005,Income share held by fourth 20%,SI.DST.04TH.20,21.6
Ghana,GHA,1998,Income share held by fourth 20%,SI.DST.04TH.20,22.7
Ghana,GHA,1991,Income share held by fourth 20%,SI.DST.04TH.20,21.7
Ghana,GHA,1988,Income share held by fourth 20%,SI.DST.04TH.20,22.1
Ghana,GHA,1987,Income share held by fourth 20%,SI.DST.04TH.20,22.3
Ghana,GHA,2016,Income share held by highest 20%,SI.DST.05TH.20,48.6
Ghana,GHA,2012,Income share held by highest 20%,SI.DST.05TH.20,48.3
Ghana,GHA,2005,Income share held by highest 20%,SI.DST.05TH.20,48.6
Ghana,GHA,1998,Income share held by highest 20%,SI.DST.05TH.20,46.2
Ghana,GHA,1991,Income share held by highest 20%,SI.DST.05TH.20,45.5
Ghana,GHA,1988,Income share held by highest 20%,SI.DST.05TH.20,43.4
Ghana,GHA,1987,Income share held by highest 20%,SI.DST.05TH.20,42.7
Ghana,GHA,2016,Income share held by highest 10%,SI.DST.10TH.10,32.2
Ghana,GHA,2012,Income share held by highest 10%,SI.DST.10TH.10,31.7
Ghana,GHA,2005,Income share held by highest 10%,SI.DST.10TH.10,32.7
Ghana,GHA,1998,Income share held by highest 10%,SI.DST.10TH.10,29.6
Ghana,GHA,1991,Income share held by highest 10%,SI.DST.10TH.10,30.1
Ghana,GHA,1988,Income share held by highest 10%,SI.DST.10TH.10,28.1
Ghana,GHA,1987,Income share held by highest 10%,SI.DST.10TH.10,27.3
Ghana,GHA,2016,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,20.6
Ghana,GHA,2012,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,18.1
Ghana,GHA,2005,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,18
Ghana,GHA,1998,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,16.2
Ghana,GHA,1991,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,13.4
Ghana,GHA,1988,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,13.7
Ghana,GHA,1987,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,14.1
Ghana,GHA,2016,Income share held by lowest 10%,SI.DST.FRST.10,1.6
Ghana,GHA,2012,Income share held by lowest 10%,SI.DST.FRST.10,2
Ghana,GHA,2005,Income share held by lowest 10%,SI.DST.FRST.10,1.9
Ghana,GHA,1998,Income share held by lowest 10%,SI.DST.FRST.10,2.2
Ghana,GHA,1991,Income share held by lowest 10%,SI.DST.FRST.10,2.6
Ghana,GHA,1988,Income share held by lowest 10%,SI.DST.FRST.10,2.9
Ghana,GHA,1987,Income share held by lowest 10%,SI.DST.FRST.10,2.8
Ghana,GHA,2016,Income share held by lowest 20%,SI.DST.FRST.20,4.7
Ghana,GHA,2012,Income share held by lowest 20%,SI.DST.FRST.20,5.4
Ghana,GHA,2005,Income share held by lowest 20%,SI.DST.FRST.20,5.3
Ghana,GHA,1998,Income share held by lowest 20%,SI.DST.FRST.20,5.8
Ghana,GHA,1991,Income share held by lowest 20%,SI.DST.FRST.20,6.6
Ghana,GHA,1988,Income share held by lowest 20%,SI.DST.FRST.20,7
Ghana,GHA,1987,Income share held by lowest 20%,SI.DST.FRST.20,7
Ghana,GHA,2016,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,39
Ghana,GHA,2012,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,41.8
Ghana,GHA,2005,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,60.9
Ghana,GHA,1998,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,65.3
Ghana,GHA,1991,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,80.4
Ghana,GHA,1988,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,77.4
Ghana,GHA,1987,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,78.2
Ghana,GHA,2016,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,15.8
Ghana,GHA,2012,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,15.7
Ghana,GHA,2005,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,26.4
Ghana,GHA,1998,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,29.7
Ghana,GHA,1991,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,39.7
Ghana,GHA,1988,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,35
Ghana,GHA,1987,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,35.6
Ghana,GHA,2016,Gini index,SI.POV.GINI,43.5
Ghana,GHA,2012,Gini index,SI.POV.GINI,42.4
Ghana,GHA,2005,Gini index,SI.POV.GINI,42.8
Ghana,GHA,1998,Gini index,SI.POV.GINI,40.1
Ghana,GHA,1991,Gini index,SI.POV.GINI,38.4
Ghana,GHA,1988,Gini index,SI.POV.GINI,36
Ghana,GHA,1987,Gini index,SI.POV.GINI,35.3
Ghana,GHA,2016,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,56.3
Ghana,GHA,2012,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,59.8
Ghana,GHA,2005,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,76.7
Ghana,GHA,1998,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,79.8
Ghana,GHA,1991,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,90.3
Ghana,GHA,1988,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,89.6
Ghana,GHA,1987,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,90.2
Ghana,GHA,2016,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,25
Ghana,GHA,2012,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,25.8
Ghana,GHA,2005,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,38.7
Ghana,GHA,1998,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,42.1
Ghana,GHA,1991,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,53
Ghana,GHA,1988,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,49.1
Ghana,GHA,1987,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,49.7
Ghana,GHA,2016,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,23.4
Ghana,GHA,2012,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,24.2
Ghana,GHA,2005,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,31.9
Ghana,GHA,1998,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,39.5
Ghana,GHA,1991,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,51.7
Ghana,GHA,2016,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,85.4
Ghana,GHA,2012,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,86.3
Ghana,GHA,2005,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,94.1
Ghana,GHA,1998,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,96.1
Ghana,GHA,1991,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,98.3
Ghana,GHA,1988,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,98.1
Ghana,GHA,1987,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,98.4
Ghana,GHA,2016,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,49
Ghana,GHA,2012,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,50.6
Ghana,GHA,2005,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,63
Ghana,GHA,1998,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,66
Ghana,GHA,1991,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,74.1
Ghana,GHA,1988,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,72
Ghana,GHA,1987,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,72.5
Ghana,GHA,2016,"Survey mean consumption or income per capita, bottom 40% of population (2021 PPP $ per day)",SI.SPR.PC40,1.81
Ghana,GHA,2012,"Survey mean consumption or income per capita, bottom 40% of population (2021 PPP $ per day)",SI.SPR.PC40,1.83
Ghana,GHA,2016,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,-0.19
Ghana,GHA,2016,"Survey mean consumption or income per capita, total population (2021 PPP $ per day)",SI.SPR.PCAP,5.07
Ghana,GHA,2012,"Survey mean consumption or income per capita, total population (2021 PPP $ per day)",SI.SPR.PCAP,4.82
Ghana,GHA,2016,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,1.27
Ghana,GHA,2018,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,47.8
Ghana,GHA,2016,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,45.6
Ghana,GHA,2011,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,55
Ghana,GHA,2010,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,42.7
Ghana,GHA,2010,"Multidimensional poverty headcount ratio, household (% of total households)",SI.POV.MDIM.HH,31.8
Ghana,GHA,2018,Multidimensional poverty intensity (average share of deprivations experienced by the poor),SI.POV.MDIM.IT,51.8
Ghana,GHA,2016,Multidimensional poverty intensity (average share of deprivations experienced by the poor),SI.POV.MDIM.IT,51.7
Ghana,GHA,2011,Multidimensional poverty intensity (average share of deprivations experienced by the poor),SI.POV.MDIM.IT,54.2
Ghana,GHA,2010,Multidimensional poverty intensity (average share of deprivations experienced by the poor),SI.POV.MDIM.IT,41.8
Ghana,GHA,2018,Multidimensional poverty index (scale 0-1),SI.POV.MDIM.XQ,0.247
Ghana,GHA,2016,Multidimensional poverty index (scale 0-1),SI.POV.MDIM.XQ,0.236
Ghana,GHA,2011,Multidimensional poverty index (scale 0-1),SI.POV.MDIM.XQ,0.298
Ghana,GHA,2010,Multidimensional poverty index (scale 0-1),SI.POV.MDIM.XQ,0.179
